"Date","LA Name","DAQI"
2012-01-18,"Falkirk",2
2012-01-18,"Fife",2
2012-01-18,"Glasgow City",2
2012-01-18,"Highland",3
2012-01-18,"Inverclyde",2
2012-01-18,"Midlothian",3
2012-01-18,"North Ayrshire",2
2012-01-18,"North Lanarkshire",2
2012-01-18,"Perth and Kinross",3
2012-01-18,"Renfrewshire",2
2012-01-18,"Scottish Borders",2
2012-01-18,"Shetland Islands",3
2012-01-18,"South Ayrshire",2
2012-01-18,"South Lanarkshire",2
2012-01-18,"Stirling",2
2012-01-18,"West Dunbartonshire",2
2012-01-18,"West Lothian",2
2012-01-19,"Aberdeen City",3
2012-01-19,"Angus",1
2012-01-19,"Clackmannanshire",1
2012-01-19,"Dumfries and Galloway",3
2012-01-19,"Dundee City",3
2012-01-19,"East Dunbartonshire",3
2012-01-19,"East Lothian",1
2012-01-19,"East Renfrewshire",3
2012-01-19,"Edinburgh, City of",3
2012-01-19,"Falkirk",2
2012-01-19,"Fife",2
2012-01-19,"Glasgow City",2
2012-01-19,"Highland",3
2012-01-19,"Inverclyde",1
2012-01-19,"Midlothian",3
2012-01-19,"North Ayrshire",2
2012-01-19,"North Lanarkshire",2
2012-01-19,"Perth and Kinross",4
2012-01-19,"Renfrewshire",3
2012-01-19,"Scottish Borders",3
2012-01-19,"Shetland Islands",3
2012-01-19,"South Ayrshire",2
2012-01-19,"South Lanarkshire",2
2012-01-19,"Stirling",1
2012-01-19,"West Dunbartonshire",2
2012-01-19,"West Lothian",2
2012-01-20,"Aberdeen City",2
2012-01-20,"Angus",1
2012-01-20,"Clackmannanshire",1
2012-01-20,"Dumfries and Galloway",3
2012-01-20,"Dundee City",4
2012-01-20,"East Dunbartonshire",3
2012-01-20,"East Lothian",1
2012-01-20,"East Renfrewshire",3
2012-01-20,"Edinburgh, City of",3
2012-01-20,"Falkirk",3
2012-01-20,"Fife",2
2012-01-20,"Glasgow City",3
2012-01-20,"Highland",3
2012-01-20,"Inverclyde",1
2012-01-20,"Midlothian",3
2012-01-20,"North Ayrshire",2
2012-01-20,"North Lanarkshire",3
2012-01-20,"Perth and Kinross",3
2012-01-20,"Renfrewshire",3
2012-01-20,"Scottish Borders",3
2012-01-20,"Shetland Islands",3
2012-01-20,"South Ayrshire",2
2012-01-20,"South Lanarkshire",2
2012-01-20,"Stirling",2
2012-01-20,"West Dunbartonshire",3
2012-01-20,"West Lothian",2
2012-01-21,"Aberdeen City",2
2012-01-21,"Angus",1
2012-01-21,"Dumfries and Galloway",3
2012-01-21,"Dundee City",2
2012-01-21,"East Dunbartonshire",2
2012-01-21,"East Lothian",1
2012-01-21,"East Renfrewshire",3
2012-01-21,"Edinburgh, City of",3
2012-01-21,"Falkirk",1
2012-01-21,"Fife",1
2012-01-21,"Glasgow City",2
2012-01-21,"Highland",3
2012-01-21,"Inverclyde",2
2012-01-21,"Midlothian",3
2012-01-21,"North Ayrshire",2
2012-01-21,"North Lanarkshire",2
2012-01-21,"Perth and Kinross",2
2012-01-21,"Renfrewshire",1
2012-01-21,"Scottish Borders",3
2012-01-21,"Shetland Islands",3
2012-01-21,"South Ayrshire",2
2012-01-21,"South Lanarkshire",1
2012-01-21,"Stirling",1
2012-01-21,"West Dunbartonshire",1
2012-01-21,"West Lothian",1
2012-01-22,"Aberdeen City",2
2012-01-22,"Angus",1
2012-01-22,"Dumfries and Galloway",3
2012-01-22,"Dundee City",2
2012-01-22,"East Dunbartonshire",2
