"NAME","Year","Value"
"North Lanarkshire","2018",15.4
"Orkney Islands","2018",2.7
"Perth and Kinross","2018",7
"Renfrewshire","2018",10.2
"Scottish Borders","2018",8.1
"Shetland Islands","2018",6
"South Ayrshire","2018",11.8
"South Lanarkshire","2018",10.9
"Stirling","2018",7.3
"West Dunbartonshire","2018",13.9
"West Lothian","2018",10.9
"Scotland","2019",9.8
"Aberdeen City","2019",6.6
"Aberdeenshire","2019",5.8
"Angus","2019",7.3
"Argyll and Bute","2019",7.2
"City of Edinburgh","2019",5.9
"Clackmannanshire","2019",11.9
"Dumfries and Galloway","2019",9
"Dundee City","2019",7.9
"East Ayrshire","2019",9.1
"East Dunbartonshire","2019",5.7
"East Lothian","2019",7.6
"East Renfrewshire","2019",6.4
"Falkirk","2019",16.5
"Fife","2019",7.3
"Glasgow City","2019",16.4
"Highland","2019",6.9
"Inverclyde","2019",10.1
"Midlothian","2019",9.4
"Moray","2019",9.1
"Na h-Eileanan Siar","2019",4.4
"North Ayrshire","2019",9.9
"North Lanarkshire","2019",15.1
"Orkney Islands","2019",2.1
"Perth and Kinross","2019",6.6
"Renfrewshire","2019",9.4
"Scottish Borders","2019",8.2
"Shetland Islands","2019",2.6
"South Ayrshire","2019",8.7
"South Lanarkshire","2019",11
"Stirling","2019",9.8
"West Dunbartonshire","2019",14.2
"West Lothian","2019",12.8
"Scotland","2020",8.1
"Aberdeen City","2020",6.5
"Aberdeenshire","2020",4.9
"Angus","2020",5.6
"Argyll and Bute","2020",7.1
"City of Edinburgh","2020",5.8
"Clackmannanshire","2020",10.2
"Dumfries and Galloway","2020",8.8
"Dundee City","2020",5
"East Ayrshire","2020",8.6
"East Dunbartonshire","2020",7.6
"East Lothian","2020",6.9
"East Renfrewshire","2020",5.5
"Falkirk","2020",10.4
"Fife","2020",5.9
"Glasgow City","2020",12.5
"Highland","2020",5.1
"Inverclyde","2020",12.5
"Midlothian","2020",5.4
"Moray","2020",7.4
"Na h-Eileanan Siar","2020",5.5
"North Ayrshire","2020",8.8
"North Lanarkshire","2020",12.8
"Orkney Islands","2020",NA
"Perth and Kinross","2020",7
"Renfrewshire","2020",4.6
"Scottish Borders","2020",6
"Shetland Islands","2020",13.2
"South Ayrshire","2020",8
"South Lanarkshire","2020",8.9
"Stirling","2020",6.7
"West Dunbartonshire","2020",13.9
"West Lothian","2020",8.8
