NAME,Year,wplearning
Glasgow City,2008,19.5
Glasgow City,2009,17.5
Glasgow City,2009,17.5
Glasgow City,2010,18.9
Glasgow City,2010,18.9
Glasgow City,2011,18.3
Glasgow City,2011,18.3
Glasgow City,2012,15.6
Glasgow City,2012,15.6
Glasgow City,2013,18.3
Glasgow City,2013,18.3
Glasgow City,2014,16.3
Glasgow City,2014,16.3
Glasgow City,2015,15.6
Glasgow City,2015,15.6
Glasgow City,2016,13.2
Glasgow City,2016,13.2
Glasgow City,2017,14.6
Glasgow City,2017,14.6
Glasgow City,2018,12.8
Glasgow City,2018,12.8
Highland,2004,23.2
Highland,2004,23.2
Highland,2005,22
Highland,2005,22
Highland,2006,21.4
Highland,2006,21.4
Highland,2007,22.8
Highland,2007,22.8
Highland,2008,22.2
Highland,2008,22.2
Highland,2009,21
Highland,2009,21
Highland,2010,20.8
Highland,2010,20.8
Highland,2011,20.7
Highland,2011,20.7
Highland,2012,19.2
Highland,2012,19.2
Highland,2013,18.2
Highland,2013,18.2
Highland,2014,20.5
Highland,2014,20.5
Highland,2015,20.7
Highland,2015,20.7
Highland,2016,19.9
Highland,2016,19.9
Highland,2017,18
Highland,2017,18
Highland,2018,20.4
Highland,2018,20.4
Inverclyde,2004,21.7
Inverclyde,2004,21.7
Inverclyde,2005,22.8
Inverclyde,2005,22.8
Inverclyde,2006,21.6
Inverclyde,2006,21.6
Inverclyde,2007,20.7
Inverclyde,2007,20.7
Inverclyde,2008,18.9
Inverclyde,2008,18.9
Inverclyde,2009,17.5
Inverclyde,2009,17.5
Inverclyde,2010,18.8
Inverclyde,2010,18.8
Inverclyde,2011,18.7
Inverclyde,2011,18.7
Inverclyde,2012,22.3
Inverclyde,2012,22.3
Inverclyde,2013,21.6
Inverclyde,2013,21.6
Inverclyde,2014,20.5
Inverclyde,2014,20.5
Inverclyde,2015,22.3
Inverclyde,2015,22.3
Inverclyde,2016,20.7
Inverclyde,2016,20.7
Inverclyde,2017,21.1
Inverclyde,2017,21.1
Inverclyde,2018,21.9
Inverclyde,2018,21.9
Midlothian,2004,26.2
Midlothian,2004,26.2
Midlothian,2005,24.5
Midlothian,2005,24.5
Midlothian,2006,21.3
Midlothian,2006,21.3
Midlothian,2007,19.7
Midlothian,2007,19.7
Midlothian,2008,18.4
Midlothian,2008,18.4
Midlothian,2009,21
Midlothian,2009,21
Midlothian,2010,21.2
Midlothian,2010,21.2
Midlothian,2011,22.4
Midlothian,2011,22.4
Midlothian,2012,19.7
Midlothian,2012,19.7
Midlothian,2013,16.7
Midlothian,2013,16.7
Midlothian,2014,15.9
Midlothian,2014,15.9
Midlothian,2015,15
Midlothian,2015,15
Midlothian,2016,17.4
Midlothian,2016,17.4
Midlothian,2017,18.9
Midlothian,2017,18.9
Midlothian,2018,17
Midlothian,2018,17
Moray,2004,25.4
Moray,2004,25.4
Moray,2005,25.1
Moray,2005,25.1
Moray,2006,30.8
Moray,2006,30.8
Moray,2007,27.2
Moray,2007,27.2
Moray,2008,25.5
Moray,2008,25.5
Moray,2009,23.5
Moray,2009,23.5
Moray,2010,23.8
Moray,2010,23.8
Moray,2011,29.6
Moray,2011,29.6
Moray,2012,27.4
Moray,2012,27.4
Moray,2013,27.1
Moray,2013,27.1
Moray,2014,23
Moray,2014,23
Moray,2015,12.8
Moray,2015,12.8
Moray,2016,16.6
Moray,2016,16.6
Moray,2017,14.1
Moray,2017,14.1
Moray,2018,13.9
Moray,2018,13.9
Na h-Eileanan Siar,2004,21.7
Na h-Eileanan Siar,2004,21.7
Na h-Eileanan Siar,2005,20.9
Na h-Eileanan Siar,2005,20.9
Na h-Eileanan Siar,2006,21.3
Na h-Eileanan Siar,2006,21.3
Na h-Eileanan Siar,2007,21.9
Na h-Eileanan Siar,2007,21.9
Na h-Eileanan Siar,2008,18.1
Na h-Eileanan Siar,2008,18.1
Na h-Eileanan Siar,2009,23
Na h-Eileanan Siar,2009,23
Na h-Eileanan Siar,2010,17.1
Na h-Eileanan Siar,2010,17.1
Na h-Eileanan Siar,2011,22.4
Na h-Eileanan Siar,2011,22.4
Na h-Eileanan Siar,2012,16.4
Na h-Eileanan Siar,2012,16.4
Na h-Eileanan Siar,2013,17.5
Na h-Eileanan Siar,2013,17.5
Na h-Eileanan Siar,2014,20.7
Na h-Eileanan Siar,2014,20.7
Na h-Eileanan Siar,2015,23.1
Na h-Eileanan Siar,2015,23.1
Na h-Eileanan Siar,2016,17.8
Na h-Eileanan Siar,2016,17.8
Na h-Eileanan Siar,2017,20
Na h-Eileanan Siar,2017,20
Na h-Eileanan Siar,2018,24.1
Na h-Eileanan Siar,2018,24.1
North Ayrshire,2004,20.4
North Ayrshire,2004,20.4
North Ayrshire,2005,20.5
North Ayrshire,2005,20.5
North Ayrshire,2006,20.3
North Ayrshire,2006,20.3
North Ayrshire,2007,18.7
North Ayrshire,2007,18.7
North Ayrshire,2008,18.6
North Ayrshire,2008,18.6
North Ayrshire,2009,19
North Ayrshire,2009,19
North Ayrshire,2010,17.8
North Ayrshire,2010,17.8
North Ayrshire,2011,16.1
North Ayrshire,2011,16.1
North Ayrshire,2012,17.7
North Ayrshire,2012,17.7
North Ayrshire,2013,17.1
North Ayrshire,2013,17.1
North Ayrshire,2014,16.8
North Ayrshire,2014,16.8
North Ayrshire,2015,17.1
North Ayrshire,2015,17.1
North Ayrshire,2016,16.5
North Ayrshire,2016,16.5
North Ayrshire,2017,18.1
North Ayrshire,2017,18.1
North Ayrshire,2018,18.7
North Ayrshire,2018,18.7
North Lanarkshire,2004,18.9
North Lanarkshire,2004,18.9
North Lanarkshire,2005,17.6
North Lanarkshire,2005,17.6
North Lanarkshire,2006,17.3
North Lanarkshire,2006,17.3
North Lanarkshire,2007,19.3
North Lanarkshire,2007,19.3
North Lanarkshire,2008,13.8
North Lanarkshire,2008,13.8
North Lanarkshire,2009,15.5
North Lanarkshire,2009,15.5
North Lanarkshire,2010,14.2
North Lanarkshire,2010,14.2
North Lanarkshire,2011,14.1
North Lanarkshire,2011,14.1
North Lanarkshire,2012,16.4
North Lanarkshire,2012,16.4
North Lanarkshire,2013,16.8
North Lanarkshire,2013,16.8
North Lanarkshire,2014,13.9
North Lanarkshire,2014,13.9
North Lanarkshire,2015,14.5
North Lanarkshire,2015,14.5
North Lanarkshire,2016,11.5
North Lanarkshire,2016,11.5
North Lanarkshire,2017,13
North Lanarkshire,2017,13
North Lanarkshire,2018,14.8
North Lanarkshire,2018,14.8
Orkney Islands,2004,25.7
Orkney Islands,2004,25.7
Orkney Islands,2005,27.4
Orkney Islands,2005,27.4
Orkney Islands,2006,22.9
Orkney Islands,2006,22.9
Orkney Islands,2007,22.1
Orkney Islands,2007,22.1
Orkney Islands,2008,20.9
Orkney Islands,2008,20.9
Orkney Islands,2009,20.8
Orkney Islands,2009,20.8
Orkney Islands,2010,23.8
Orkney Islands,2010,23.8
Orkney Islands,2011,27
Orkney Islands,2011,27
Orkney Islands,2012,24.5
Orkney Islands,2012,24.5
Orkney Islands,2013,22.3
Orkney Islands,2013,22.3
Orkney Islands,2014,24.7
Orkney Islands,2014,24.7
Orkney Islands,2015,18.3
Orkney Islands,2015,18.3
Orkney Islands,2016,19.7
Orkney Islands,2016,19.7
Orkney Islands,2017,19.5
Orkney Islands,2017,19.5
Orkney Islands,2018,22.3
Orkney Islands,2018,22.3
Perth and Kinross,2004,23
Perth and Kinross,2004,23
Perth and Kinross,2005,23.8
Perth and Kinross,2005,23.8
Perth and Kinross,2006,25.4
Perth and Kinross,2006,25.4
Perth and Kinross,2007,21
Perth and Kinross,2007,21
Perth and Kinross,2008,20.2
Perth and Kinross,2008,20.2
Perth and Kinross,2009,16
Perth and Kinross,2009,16
Perth and Kinross,2010,14.6
Perth and Kinross,2010,14.6
Perth and Kinross,2011,16.1
Perth and Kinross,2011,16.1
Perth and Kinross,2012,24.4
Perth and Kinross,2012,24.4
Perth and Kinross,2013,22.2
Perth and Kinross,2013,22.2
Perth and Kinross,2014,20.9
Perth and Kinross,2014,20.9
Perth and Kinross,2015,23.3
Perth and Kinross,2015,23.3
Perth and Kinross,2016,18.5
Perth and Kinross,2016,18.5
Perth and Kinross,2017,20.3
Perth and Kinross,2017,20.3
Perth and Kinross,2018,16.2
Perth and Kinross,2018,16.2
Renfrewshire,2004,23.7
Renfrewshire,2004,23.7
Renfrewshire,2005,23.3
Renfrewshire,2005,23.3
Renfrewshire,2006,21.3
Renfrewshire,2006,21.3
Renfrewshire,2007,20.8
Renfrewshire,2007,20.8
Renfrewshire,2008,21.9
Renfrewshire,2008,21.9
Renfrewshire,2009,21.5
Renfrewshire,2009,21.5
Renfrewshire,2010,20.9
Renfrewshire,2010,20.9
Renfrewshire,2011,19
Renfrewshire,2011,19
Renfrewshire,2012,23.8
Renfrewshire,2012,23.8
Renfrewshire,2013,23.8
Renfrewshire,2013,23.8
Renfrewshire,2014,22.7
Renfrewshire,2014,22.7
Renfrewshire,2015,20.2
Renfrewshire,2015,20.2
Renfrewshire,2016,21.5
Renfrewshire,2016,21.5
Renfrewshire,2017,19.9
Renfrewshire,2017,19.9
Renfrewshire,2018,13.1
Renfrewshire,2018,13.1
Scotland,2004,23.2
Scotland,2004,23.2
Scotland,2005,22.3
Scotland,2005,22.3
Scotland,2006,22.6
Scotland,2006,22.6
Scotland,2007,20.9
Scotland,2007,20.9
Scotland,2008,21.1
Scotland,2008,21.1
Scotland,2009,20.5
Scotland,2009,20.5
Scotland,2010,20.1
Scotland,2010,20.1
Scotland,2011,20.4
Scotland,2011,20.4
Scotland,2012,20.4
Scotland,2012,20.4
Scotland,2013,21.1
Scotland,2013,21.1
Scotland,2014,20.6
Scotland,2014,20.6
Scotland,2015,19.2
Scotland,2015,19.2
Scotland,2016,16.8
Scotland,2016,16.8
Scotland,2017,17.3
Scotland,2017,17.3
Scotland,2018,16.9
