Year,Sector,Value
2012,"Professional, Scientific & Technical (Section M)",6680
2013,"Professional, Scientific & Technical (Section M)",7240
2014,"Professional, Scientific & Technical (Section M)",7655
2015,"Professional, Scientific & Technical (Section M)",8645
2016,"Professional, Scientific & Technical (Section M)",7965
2017,"Professional, Scientific & Technical (Section M)",7980
2018,"Professional, Scientific & Technical (Section M)",7210
2019,"Professional, Scientific & Technical (Section M)",7885
2002,Real Estate Activities (Section L),175
2003,Real Estate Activities (Section L),190
2004,Real Estate Activities (Section L),235
2005,Real Estate Activities (Section L),405
2006,Real Estate Activities (Section L),465
2007,Real Estate Activities (Section L),240
2008,Real Estate Activities (Section L),240
2009,Real Estate Activities (Section L),360
2010,Real Estate Activities (Section L),285
2011,Real Estate Activities (Section L),380
2012,Real Estate Activities (Section L),370
2013,Real Estate Activities (Section L),610
2014,Real Estate Activities (Section L),380
2015,Real Estate Activities (Section L),285
2016,Real Estate Activities (Section L),245
2017,Real Estate Activities (Section L),255
2018,Real Estate Activities (Section L),305
2019,Real Estate Activities (Section L),320
2002,"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",910
2003,"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",970
2004,"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",1015
2005,"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",1015
2006,"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",1025
2007,"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",1055
2008,"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",1030
2009,"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",1010
2010,"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",1060
2011,"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",1205
2012,"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",1240
2013,"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",1315
2014,"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",1335
2015,"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",1205
2016,"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",1285
2017,"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",1300
2018,"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",1355
2019,"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",1400
2002,"Textiles, Wearing Apparel and Leather (Section CB)",820
2003,"Textiles, Wearing Apparel and Leather (Section CB)",785
2004,"Textiles, Wearing Apparel and Leather (Section CB)",760
2005,"Textiles, Wearing Apparel and Leather (Section CB)",730
2006,"Textiles, Wearing Apparel and Leather (Section CB)",720
2007,"Textiles, Wearing Apparel and Leather (Section CB)",625
2008,"Textiles, Wearing Apparel and Leather (Section CB)",630
2009,"Textiles, Wearing Apparel and Leather (Section CB)",550
2010,"Textiles, Wearing Apparel and Leather (Section CB)",545
2011,"Textiles, Wearing Apparel and Leather (Section CB)",600
2012,"Textiles, Wearing Apparel and Leather (Section CB)",645
2013,"Textiles, Wearing Apparel and Leather (Section CB)",630
2014,"Textiles, Wearing Apparel and Leather (Section CB)",640
2015,"Textiles, Wearing Apparel and Leather (Section CB)",650
2016,"Textiles, Wearing Apparel and Leather (Section CB)",615
2017,"Textiles, Wearing Apparel and Leather (Section CB)",600
2018,"Textiles, Wearing Apparel and Leather (Section CB)",665
2019,"Textiles, Wearing Apparel and Leather (Section CB)",680
2002,Total,49415
2003,Total,50660
2004,Total,55785
2005,Total,52925
2006,Total,56125
2007,Total,62545
2008,Total,65140
2009,Total,66010
2010,Total,69660
2011,Total,73090
2012,Total,74455
2013,Total,77605
2014,Total,76915
2015,Total,80730
2016,Total,77925
2017,Total,83430
2018,Total,83485
2019,Total,87095
2002,Total Manufacturing,24015
2003,Total Manufacturing,22760
2004,Total Manufacturing,21665
2005,Total Manufacturing,21065
2006,Total Manufacturing,21100
2007,Total Manufacturing,23070
2008,Total Manufacturing,24545
2009,Total Manufacturing,24295
2010,Total Manufacturing,25875
2011,Total Manufacturing,27125
2012,Total Manufacturing,27270
2013,Total Manufacturing,27665
2014,Total Manufacturing,26015
2015,Total Manufacturing,27215
2016,Total Manufacturing,27095
2017,Total Manufacturing,28550
2018,Total Manufacturing,29845
2019,Total Manufacturing,29400
2002,Total Services,20035
2003,Total Services,22245
2004,Total Services,27775
2005,Total Services,26245
2006,Total Services,28995
2007,Total Services,32990
2008,Total Services,33160
2009,Total Services,32395
2010,Total Services,33535
